Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,
2025-01-13 07:48:04,0,11.93,,,,,,,,
2025-01-13 07:48:05,0,11.93,,,,,,,,
2025-01-13 07:48:06,0,11.93,,,,,,,,
2025-01-13 07:48:07,0,11.93,,,,,,,,
2025-01-13 07:48:08,0,11.93,,,,,,,,
2025-01-13 07:48:09,0,11.93,,,,,,,,
2025-01-13 07:48:10,0,11.93,,,,,,,,
2025-01-13 07:48:11,0,11.93,,,,,,,,
2025-01-13 07:48:12,0,11.93,,,,,,,,
2025-01-13 07:48:13,0,11.93,,,,,,,,
2025-01-13 07:48:14,0,11.93,,,,,,,,
2025-01-13 07:48:15,0,11.93,,,,,,,,
2025-01-13 07:48:16,0,11.93,,,,,,,,
2025-01-13 07:48:17,0,11.93,,,,,,,,
2025-01-13 07:48:18,0,11.93,,,,,,,,
2025-01-13 07:48:19,0,11.93,,,,,,,,
2025-01-13 07:48:20,0,11.93,,,,,,,,
2025-01-13 07:48:21,0,11.93,,,,,,,,
2025-01-13 07:48:22,0,11.93,,,,,,,,
2025-01-13 07:48:23,0,11.93,,,,,,,,
2025-01-13 07:48:24,0,11.93,,,,,,,,
2025-01-13 07:48:26,0,11.93,,,,,,,,
2025-01-13 07:48:27,0,11.93,,,,,,,,
2025-01-13 07:48:28,0,11.93,,,,,,,,
2025-01-13 07:48:29,0,11.93,,,,,,,,
2025-01-13 07:48:30,0,11.93,,,,,,,,
2025-01-13 07:48:31,0,11.93,,,,,,,,
2025-01-13 07:48:32,0,11.93,,,,,,,,
2025-01-13 07:48:33,0,11.93,,,,,,,,
2025-01-13 07:48:34,0,11.93,,,,,,,,
2025-01-13 07:48:35,0,11.93,,,,,,,,
2025-01-13 07:48:36,0,11.93,,,,,,,,
2025-01-13 07:48:37,0,11.93,,,,,,,,
2025-01-13 07:48:38,0,11.93,,,,,,,,
2025-01-13 07:48:39,0,11.93,,,,,,,,
2025-01-13 07:48:40,0,11.93,,,,,,,,
2025-01-13 07:48:41,0,11.93,,,,,,,,
2025-01-13 07:48:42,0,11.93,,,,,,,,
2025-01-13 07:48:43,0,11.93,,,,,,,,
2025-01-13 07:48:44,0,11.93,,,,,,,,
2025-01-13 07:48:45,0,11.93,,,,,,,,
2025-01-13 07:48:46,0,11.93,,,,,,,,
