Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,,,
2025-01-13 04:47:37,0,11.83,,,,,,,,,
2025-01-13 04:47:38,0,11.83,,,,,,,,,
2025-01-13 04:47:39,0,11.83,,,,,,,,,
2025-01-13 04:47:40,0,11.83,,,,,,,,,
2025-01-13 04:47:41,0,11.83,,,,,,,,,
2025-01-13 04:47:42,0,11.83,,,,,,,,,
2025-01-13 04:47:43,0,11.83,,,,,,,,,
2025-01-13 04:47:44,0,11.83,,,,,,,,,
2025-01-13 04:47:45,0,11.83,,,,,,,,,
2025-01-13 04:47:46,0,11.83,,,,,,,,,
2025-01-13 04:47:47,0,11.83,,,,,,,,,
2025-01-13 04:47:48,0,11.83,,,,,,,,,
2025-01-13 04:47:49,0,11.83,,,,,,,,,
2025-01-13 04:47:50,0,11.83,,,,,,,,,
2025-01-13 04:47:51,0,11.83,,,,,,,,,
2025-01-13 04:47:52,0,11.88,,,,,,,,,
2025-01-13 04:47:53,0,11.88,,,,,,,,,
2025-01-13 04:47:54,0,11.88,,,,,,,,,
2025-01-13 04:47:55,0,11.88,,,,,,,,,
2025-01-13 04:47:56,0,11.88,,,,,,,,,
2025-01-13 04:47:57,0,11.9,,,,,,,,,
2025-01-13 04:47:58,0,11.9,,,,,,,,,
2025-01-13 04:47:59,0,11.9,,,,,,,,,
2025-01-13 04:48:00,0,11.9,,,,,,,,,
2025-01-13 04:48:01,0,11.9,,,,,,,,,
2025-01-13 04:48:02,0,11.9,,,,,,,,,
2025-01-13 04:48:03,0,11.9,,,,,,,,,
2025-01-13 04:48:05,0,11.9,,,,,,,,,
2025-01-13 04:48:06,0,11.9,,,,,,,,,
2025-01-13 04:48:07,0,11.9,,,,,,,,,
2025-01-13 04:48:08,0,11.9,,,,,,,,,
2025-01-13 04:48:09,0,11.9,,,,,,,,,
2025-01-13 04:48:10,0,11.9,,,,,,,,,
2025-01-13 04:48:11,0,11.9,,,,,,,,,
2025-01-13 04:48:12,0,11.9,,,,,,,,,
2025-01-13 04:48:13,0,11.9,,,,,,,,,
2025-01-13 04:48:14,0,11.9,,,,,,,,,
2025-01-13 04:48:15,0,11.9,,,,,,,,,
2025-01-13 04:48:16,0,11.9,,,,,,,,,
2025-01-13 04:48:17,0,11.9,,,,,,,,,
