Timestamp,CPU_Usage(%),Memory_Usage(MB),Bytes_Received(Bytes),Bytes_Sent(Bytes),,,,,
2025-01-13 07:17:50,0,12.14,,,,,,,
2025-01-13 07:17:51,0,12.14,,,,,,,
2025-01-13 07:17:52,0,12.14,,,,,,,
2025-01-13 07:17:53,0,12.14,,,,,,,
2025-01-13 07:17:54,0,12.14,,,,,,,
2025-01-13 07:17:55,0,12.14,,,,,,,
2025-01-13 07:17:56,0,12.14,,,,,,,
2025-01-13 07:17:57,0,12.14,,,,,,,
2025-01-13 07:17:58,0,12.14,,,,,,,
2025-01-13 07:17:59,0,12.14,,,,,,,
2025-01-13 07:18:00,0,12.14,,,,,,,
2025-01-13 07:18:01,0,12.14,,,,,,,
2025-01-13 07:18:02,0,12.14,,,,,,,
2025-01-13 07:18:03,0,12.14,,,,,,,
2025-01-13 07:18:04,0,12.14,,,,,,,
2025-01-13 07:18:05,0,12.14,,,,,,,
2025-01-13 07:18:06,0,12.14,,,,,,,
2025-01-13 07:18:07,0,12.14,,,,,,,
2025-01-13 07:18:08,0,12.14,,,,,,,
2025-01-13 07:18:09,0,12.14,,,,,,,
2025-01-13 07:18:10,0,12.14,,,,,,,
2025-01-13 07:18:11,0,12.14,,,,,,,
2025-01-13 07:18:12,0,12.14,,,,,,,
2025-01-13 07:18:13,0,12.14,,,,,,,
2025-01-13 07:18:14,0,12.14,,,,,,,
2025-01-13 07:18:15,0,12.14,,,,,,,
2025-01-13 07:18:16,0,12.14,,,,,,,
2025-01-13 07:18:17,0,12.14,,,,,,,
2025-01-13 07:18:18,0,12.14,,,,,,,
2025-01-13 07:18:20,0,12.14,,,,,,,
2025-01-13 07:18:21,0,12.14,,,,,,,
2025-01-13 07:18:22,0,12.14,,,,,,,
2025-01-13 07:18:23,0,12.14,,,,,,,
2025-01-13 07:18:24,0,12.14,,,,,,,
2025-01-13 07:18:25,0,12.14,,,,,,,
2025-01-13 07:18:26,0,12.14,,,,,,,
2025-01-13 07:18:27,0,12.14,,,,,,,
2025-01-13 07:18:28,0,12.14,,,,,,,
2025-01-13 07:18:29,0,12.14,,,,,,,
2025-01-13 07:18:30,0,12.14,,,,,,,
2025-01-13 07:18:31,0,12.14,,,,,,,
2025-01-13 07:18:32,0,12.14,,,,,,,
2025-01-13 07:18:33,0,12.14,,,,,,,
2025-01-13 07:18:34,0,12.14,,,,,,,
2025-01-13 07:18:35,0,12.14,,,,,,,
2025-01-13 07:18:36,0,12.14,,,,,,,
2025-01-13 07:18:37,0,12.14,,,,,,,
2025-01-13 07:18:38,0,12.14,,,,,,,
2025-01-13 07:18:39,0,12.14,,,,,,,
2025-01-13 07:18:40,0,12.14,,,,,,,
2025-01-13 07:18:41,0,12.14,,,,,,,
2025-01-13 07:18:42,0,12.14,,,,,,,
2025-01-13 07:18:43,0,12.14,,,,,,,
2025-01-13 07:18:44,0,12.14,,,,,,,
2025-01-13 07:18:45,0,12.14,,,,,,,
2025-01-13 07:18:46,0,12.14,,,,,,,
2025-01-13 07:18:47,0,12.14,,,,,,,
2025-01-13 07:18:48,0,12.14,,,,,,,
2025-01-13 07:18:49,0,12.14,,,,,,,
2025-01-13 07:18:50,0,12.14,,,,,,,
2025-01-13 07:18:51,0,12.14,,,,,,,
2025-01-13 07:18:52,0,12.14,,,,,,,
2025-01-13 07:18:53,0,12.14,,,,,,,
2025-01-13 07:18:54,0,12.14,,,,,,,
2025-01-13 07:18:55,0,12.14,,,,,,,
2025-01-13 07:18:56,0,12.14,,,,,,,
2025-01-13 07:18:57,0,12.14,,,,,,,
2025-01-13 07:18:58,0,12.14,,,,,,,
2025-01-13 07:18:59,0,12.14,,,,,,,
2025-01-13 07:19:00,0,12.14,,,,,,,
2025-01-13 07:19:01,0,12.14,,,,,,,
2025-01-13 07:19:03,0,12.14,,,,,,,
2025-01-13 07:19:04,0,12.14,,,,,,,
2025-01-13 07:19:05,0,12.14,,,,,,,
2025-01-13 07:19:06,0,12.14,,,,,,,
2025-01-13 07:19:07,0,12.14,,,,,,,
2025-01-13 07:19:08,0,12.14,,,,,,,
2025-01-13 07:19:09,0,12.14,,,,,,,
2025-01-13 07:19:10,0,12.14,,,,,,,
2025-01-13 07:19:11,0,12.14,,,,,,,
2025-01-13 07:19:12,0,12.14,,,,,,,
2025-01-13 07:19:13,0,12.14,,,,,,,
2025-01-13 07:19:14,0,12.14,,,,,,,
2025-01-13 07:19:15,0,12.14,,,,,,,
2025-01-13 07:19:16,0,12.14,,,,,,,
2025-01-13 07:19:17,0,12.14,,,,,,,
2025-01-13 07:19:18,0,12.14,,,,,,,
2025-01-13 07:19:19,0,12.14,,,,,,,
2025-01-13 07:19:20,0,12.14,,,,,,,
2025-01-13 07:19:21,0,12.14,,,,,,,
2025-01-13 07:19:22,0,12.14,,,,,,,
2025-01-13 07:19:23,0,12.14,,,,,,,
2025-01-13 07:19:24,0,12.14,,,,,,,
2025-01-13 07:19:25,0,12.14,,,,,,,
2025-01-13 07:19:26,0,12.14,,,,,,,
2025-01-13 07:19:27,0,12.14,,,,,,,
2025-01-13 07:19:28,0,12.14,,,,,,,
2025-01-13 07:19:29,0,12.14,,,,,,,
2025-01-13 07:19:30,0,12.14,,,,,,,
2025-01-13 07:19:31,0,12.14,,,,,,,
2025-01-13 07:19:32,0,12.14,,,,,,,
2025-01-13 07:19:33,0,12.14,,,,,,,
2025-01-13 07:19:34,0,12.14,,,,,,,
2025-01-13 07:19:35,0,12.14,,,,,,,
2025-01-13 07:19:36,0,12.14,,,,,,,
2025-01-13 07:19:37,0,12.14,,,,,,,
2025-01-13 07:19:38,0,12.14,,,,,,,
2025-01-13 07:19:39,0,12.14,,,,,,,
2025-01-13 07:19:40,0,12.14,,,,,,,
2025-01-13 07:19:41,0,12.14,,,,,,,
2025-01-13 07:19:42,0,12.14,,,,,,,
2025-01-13 07:19:43,0,12.14,,,,,,,
2025-01-13 07:19:44,0,12.14,,,,,,,
2025-01-13 07:19:46,0,12.21,,,,,,,
2025-01-13 07:19:47,0,12.21,,,,,,,
2025-01-13 07:19:48,0,12.21,,,,,,,
2025-01-13 07:19:49,0,12.21,,,,,,,
2025-01-13 07:19:50,0,12.21,,,,,,,
2025-01-13 07:19:51,0,12.35,,,,,,,
2025-01-13 07:19:52,0,12.35,,,,,,,
2025-01-13 07:19:53,0,12.35,,,,,,,
2025-01-13 07:19:54,0,12.35,,,,,,,
2025-01-13 07:19:55,0,12.35,,,,,,,
2025-01-13 07:19:56,0,12.35,,,,,,,
2025-01-13 07:19:57,0,12.35,,,,,,,
2025-01-13 07:19:58,0,12.35,,,,,,,
2025-01-13 07:19:59,0,12.35,,,,,,,
2025-01-13 07:20:00,0,12.35,,,,,,,
2025-01-13 07:20:01,0,12.35,,,,,,,
2025-01-13 07:20:02,0,12.35,,,,,,,
2025-01-13 07:20:03,0,12.35,,,,,,,
2025-01-13 07:20:04,0,12.35,,,,,,,
2025-01-13 07:20:05,0,12.35,,,,,,,
2025-01-13 07:20:06,0,12.91,,,,,,,
