family,K,lam,final_mean,final_std,auc_mean,auc_std
gafgyt,5,15.0,142.8,38.191098439296034,46.72871077252351,20.49312055342666
gafgyt,5,20.0,142.8,38.191098439296034,46.72871077252351,20.49312055342666
gafgyt,6,0.5,143.6,39.2917294096353,41.21058795553907,19.047754090503993
gafgyt,6,1.0,143.6,39.2917294096353,45.801602570242686,20.212490959834454
gafgyt,6,1.5,143.6,39.2917294096353,46.53925630648339,20.621652868850912
gafgyt,6,2.0,143.6,39.2917294096353,46.809847351850934,20.834931931750415
gafgyt,6,2.5,143.6,39.2917294096353,46.83309498128663,20.816326893657244
gafgyt,6,3.0,143.6,39.2917294096353,46.86661060808582,20.822025943446665
gafgyt,6,5.0,143.6,39.2917294096353,47.0282206401235,20.962265223650377
gafgyt,6,10.0,143.6,39.2917294096353,47.106497089480364,21.032950367622206
gafgyt,6,15.0,143.6,39.2917294096353,47.11774414683448,21.027976122955245
gafgyt,6,20.0,143.6,39.2917294096353,47.1195472047408,21.03053566570361
gafgyt,8,0.5,146.4,41.85020907952552,38.61878150550877,16.597382417707642
gafgyt,8,1.0,146.4,41.85020907952552,46.312448679304275,20.723677635157177
gafgyt,8,1.5,146.4,41.85020907952552,47.53213420189839,21.490806787395993
gafgyt,8,2.0,146.4,41.85020907952552,47.765656216463604,21.655117443742217
gafgyt,8,2.5,146.4,41.85020907952552,47.79272991585623,21.64364280462138
gafgyt,8,3.0,146.4,41.85020907952552,47.94240291396348,21.78584030746417
gafgyt,8,5.0,146.4,41.85020907952552,47.992971861434434,21.80049029512098
gafgyt,8,10.0,146.4,41.85020907952552,48.06978733387834,21.869797273451482
gafgyt,8,15.0,146.4,41.85020907952552,48.08103439123245,21.864471510573882
gafgyt,8,20.0,146.4,41.85020907952552,48.08103439123245,21.864471510573882
gafgyt,10,0.5,147.0,42.89522117905443,37.422269660569334,15.904517688897366
gafgyt,10,1.0,147.0,42.89522117905443,46.22202132251815,20.845832461574435
gafgyt,10,1.5,147.0,42.89522117905443,47.870392136029096,21.970590566226363
gafgyt,10,2.0,147.0,42.89522117905443,48.06076256681301,22.073795813284736
gafgyt,10,2.5,147.0,42.89522117905443,48.20660106517762,22.201894302934047
gafgyt,10,3.0,147.0,42.89522117905443,48.24447394564725,22.211908643217942
gafgyt,10,5.0,147.0,42.89522117905443,48.29518226089387,22.225597153580193
gafgyt,10,10.0,147.0,42.89522117905443,48.37790933914385,22.301313667239906
gafgyt,10,15.0,147.0,42.89522117905443,48.38915639649797,22.295920069444517
gafgyt,10,20.0,147.0,42.89522117905443,48.38915639649797,22.295920069444517
gafgyt,15,0.5,151.0,49.9799959983992,41.3559169228934,21.983657777544604
gafgyt,15,1.0,151.0,49.9799959983992,46.696122578997986,22.07940648702714
gafgyt,15,1.5,151.0,49.9799959983992,49.12693779922746,23.79354687956805
gafgyt,15,2.0,151.0,49.9799959983992,49.32459299559107,23.893341582942696
gafgyt,15,2.5,151.0,49.9799959983992,49.358174387667866,23.882392721631412
gafgyt,15,3.0,151.0,49.9799959983992,49.39460321921551,23.887686192000373
gafgyt,15,5.0,151.0,49.9799959983992,49.44856931306741,23.90379679944159
gafgyt,15,10.0,151.0,49.9799959983992,49.53252273632501,23.979767095271434
gafgyt,15,15.0,151.0,49.9799959983992,49.54389271808866,23.974470840056696
gafgyt,15,20.0,151.0,49.9799959983992,49.54389271808866,23.974470840056696
gafgyt,20,0.5,155.4,52.939965999233515,37.130856058138576,17.271654717441272
gafgyt,20,1.0,155.4,52.939965999233515,47.19609455931895,22.12339503428551
gafgyt,20,1.5,155.4,52.939965999233515,50.26239916734673,24.387254825620772
gafgyt,20,2.0,155.4,52.939965999233515,50.46652482713603,24.491826524169678
gafgyt,20,2.5,155.4,52.939965999233515,50.502078639426216,24.480847277722958
gafgyt,20,3.0,155.4,52.939965999233515,50.5402048883348,24.48675696422255
gafgyt,20,5.0,155.4,52.939965999233515,50.59727018741872,24.505960260072545
gafgyt,20,10.0,155.4,52.939965999233515,50.68306937348656,24.583563321640504
gafgyt,20,15.0,155.4,52.939965999233515,50.69474796993187,24.57819661827703
gafgyt,20,20.0,155.4,52.939965999233515,50.69474796993187,24.57819661827703
gafgyt,30,0.5,161.8,57.71100414998859,37.78679843009629,16.65573301565685
gafgyt,30,1.0,161.8,57.71100414998859,48.90308126707875,23.22509396233829
gafgyt,30,1.5,161.8,57.71100414998859,51.608546381212236,25.245396254922593
gafgyt,30,2.0,161.8,57.71100414998859,51.80085174649673,25.36387610487004
gafgyt,30,2.5,161.8,57.71100414998859,51.83116033247499,25.35566795052444
gafgyt,30,3.0,161.8,57.71100414998859,51.86721046126282,25.36092140473104
gafgyt,30,5.0,161.8,57.71100414998859,51.92226541957382,25.382377185152205
gafgyt,30,10.0,161.8,57.71100414998859,52.008414432822995,25.45862447975017
gafgyt,30,15.0,161.8,57.71100414998859,52.01720671738137,25.45523221607561
gafgyt,30,20.0,161.8,57.71100414998859,52.01720671738137,25.45523221607561
gafgyt,40,0.5,170.0,54.651623946594675,36.531285034084476,13.117785410872681
gafgyt,40,1.0,170.0,54.651623946594675,50.03442595805596,21.77307917307407
gafgyt,40,1.5,170.0,54.651623946594675,53.31778472616937,24.53020577033636
gafgyt,40,2.0,170.0,54.651623946594675,53.51462856336178,24.645469781654864
gafgyt,40,2.5,170.0,54.651623946594675,53.54715800138407,24.633241927144343
gafgyt,40,3.0,170.0,54.651623946594675,53.58502596602974,24.635887338478902
gafgyt,40,5.0,170.0,54.651623946594675,53.641021147123276,24.65556868360462
gafgyt,40,10.0,170.0,54.651623946594675,53.72762211030513,24.729114500906732
gafgyt,40,15.0,170.0,54.651623946594675,53.73673949378714,24.72595595758058
gafgyt,40,20.0,170.0,54.651623946594675,53.73673949378714,24.72595595758058
